,2,3,7
107,"7006-Data Scientist, Pricing Analytics",Scotiabank,Toronto
108,7172-Associate Programmer Analyst (RMIT),Scotiabank,Toronto
109,7483-Technical Analyst,Scotiabank,Toronto
110,7484-Developer,Scotiabank,Toronto
111,7485-Associate Programmer Analyst,Scotiabank,Toronto
112,7574-Data Science and Engineering,Scotiabank,Toronto
113,7570-Data Scientist - GBM,Scotiabank,Toronto
114,7574-Data Science and Engineering - GBM,Scotiabank,Toronto
115,7930-Developer - Digital Factory,Scotiabank,Toronto
116,7924-Data Scientist - Digital Factory,Scotiabank,Waterloo
117,7291-Engineering - Digital Factory,Scotiabank,Waterloo
118,7927-Design Coop - Digital Factory,Scotiabank,Waterloo
119,7510-Junior Programmer Analyst,Scotiabank,Toronto
120,Software Engineering (aviation data startup),Seer Aerospace Inc,New York
121,Machine Learning Developer Intern,Sensibill,Toronto
122,iOS Developer,Sensibill,Toronto
123,Android Developer,Sensibill,Toronto
124,QA Automation Developer,Sensibill,Toronto
125,Software Developer,Set Scouter Inc,Toronto
126,Engineering / Computer Science Intern (4 month contract) - Network Sustainment,Shaw Communications Inc,Calgary
127,Engineering / Computer Science Intern (8 month contract) - Data Center Technologies,Shaw Communications Inc,Calgary
128,Engineering / Computer Science Intern (4 month contract) - Digital Technologies,Shaw Communications Inc,Calgary
129,Engineering / Computer Science Intern (4 month contract) - Enterprise Technology Operations,Shaw Communications Inc,Calgary
130,Engineering / Computer Science Intern (4 month contract) - Freedom Wireless Network Planning,Shaw Communications Inc,Calgary
131,Engineering / Computer Science Intern (4 or 8 month contract) - Network Architecture,Shaw Communications Inc,Calgary
132,Engineering / Computer Science Intern (4 month contract) - Product Development (Video),Shaw Communications Inc,Calgary
133,Engineering / Computer Science Intern (8 month contract) - Test Automation,Shaw Communications Inc,Calgary
134,Engineering / Computer Science Intern (4 month contract) - Video Content Management Services,Shaw Communications Inc,Calgary
135,Software Engineering,Shippo,San Francisco
136,Software Engineering,Shogun Inc,San Francisco
137,Full-Stack Developer,Shop Bonsai,Toronto
138,Front-end Developer,Shoplogix Inc,Oakville
139,Software Developer,Shoplogix Inc,Oakville
140,Senior Systems Engineering,Shoplogix Inc,Oakville
141,Startup Software Engineering,SigOpt Inc,San Francisco
142,Junior System Developer,Simon Fraser University,Vancouver
143,Front End Engineering,SkyWatch,Waterloo
144,Software Developer Intern,SMART Technologies,Calgary
145,Full Stack Web Developer,Smile.io,Kitchener
146,Software Engineering,Snap Inc,Venice
147,Software Engineering,SnapTravel,Toronto
148,Frontend Engineering,SnapTravel,Toronto
149,Software Engineering,Snowflake Computing Inc,San Mateo
150,Software Test Engineering,Solace Systems Inc,Kanata
151,SaaS - Software Engineering - DevTest,Solace Systems Inc,Kanata
152,Software Developer,Solace Systems Inc,Kanata
153,Front End Software Engineering,Solink Corporation,Ottawa
154,Software Engineering,Sony Creative Software,Waterloo
155,"Software Engineering Intern, PlayStation Network",Sony Interactive Entertainment,Waterloo
